
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1296
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       21292
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1412
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       1760
  TCP    0.0.0.0:5050           0.0.0.0:0              LISTENING       9232
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       9232
  TCP    0.0.0.0:15100          0.0.0.0:0              LISTENING       22200
  TCP    0.0.0.0:15101          0.0.0.0:0              LISTENING       22200
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1016
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       900
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1464
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1616
  TCP    0.0.0.0:53866          0.0.0.0:0              LISTENING       980
  TCP    0.0.0.0:57445          0.0.0.0:0              LISTENING       3320
  TCP    0.0.0.0:61978          0.0.0.0:0              LISTENING       11872
  TCP    127.0.0.1:5432         127.0.0.1:57358        ESTABLISHED     9232
  TCP    127.0.0.1:5432         127.0.0.1:57638        ESTABLISHED     9232
  TCP    127.0.0.1:12025        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:12110        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:12119        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:12143        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:12465        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:12563        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:12993        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:12995        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:27275        0.0.0.0:0              LISTENING       2696
  TCP    127.0.0.1:56291        127.0.0.1:56292        ESTABLISHED     21844
  TCP    127.0.0.1:56292        127.0.0.1:56291        ESTABLISHED     21844
  TCP    127.0.0.1:57358        127.0.0.1:5432         ESTABLISHED     17204
  TCP    127.0.0.1:57638        127.0.0.1:5432         ESTABLISHED     17204
  TCP    127.0.0.1:59797        0.0.0.0:0              LISTENING       17204
  TCP    127.0.0.1:61943        0.0.0.0:0              LISTENING       17204
  TCP    172.21.16.1:139        0.0.0.0:0              LISTENING       4
  TCP    172.25.128.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.0.111:139      0.0.0.0:0              LISTENING       4
  TCP    192.168.0.111:3306     192.168.0.111:62902    FIN_WAIT_2      9232
  TCP    192.168.0.111:51050    48.194.5.88:443        CLOSE_WAIT      10840
  TCP    192.168.0.111:53438    208.103.161.1:443      ESTABLISHED     13180
  TCP    192.168.0.111:53498    20.33.105.0:443        ESTABLISHED     3176
  TCP    192.168.0.111:54672    23.105.168.233:443     ESTABLISHED     14632
  TCP    192.168.0.111:56992    23.205.225.42:443      ESTABLISHED     13368
  TCP    192.168.0.111:57174    18.155.21.38:443       ESTABLISHED     14632
  TCP    192.168.0.111:57258    208.103.161.1:443      ESTABLISHED     13180
  TCP    192.168.0.111:57285    192.108.254.49:443     ESTABLISHED     14632
  TCP    192.168.0.111:57880    140.82.114.26:443      ESTABLISHED     13180
  TCP    192.168.0.111:57899    104.18.27.48:443       ESTABLISHED     13180
  TCP    192.168.0.111:57924    104.18.4.247:443       TIME_WAIT       0
  TCP    192.168.0.111:57925    104.18.4.247:443       TIME_WAIT       0
  TCP    192.168.0.111:57926    20.201.14.155:443      ESTABLISHED     27116
  TCP    192.168.0.111:57927    52.168.112.66:443      TIME_WAIT       0
  TCP    192.168.0.111:57928    20.52.64.200:443       TIME_WAIT       0
  TCP    192.168.0.111:57931    104.18.4.247:443       TIME_WAIT       0
  TCP    192.168.0.111:57935    104.18.4.247:443       TIME_WAIT       0
  TCP    192.168.0.111:57943    108.158.173.77:443     ESTABLISHED     14632
  TCP    192.168.0.111:57949    104.18.26.48:443       ESTABLISHED     13180
  TCP    192.168.0.111:57954    104.18.4.247:443       TIME_WAIT       0
  TCP    192.168.0.111:57962    34.98.110.65:443       ESTABLISHED     2696
  TCP    192.168.0.111:57974    2.18.248.235:443       ESTABLISHED     2696
  TCP    192.168.0.111:57983    208.103.161.1:443      ESTABLISHED     13180
  TCP    192.168.0.111:59034    23.105.168.213:443     ESTABLISHED     14632
  TCP    192.168.0.111:59037    23.105.168.213:443     ESTABLISHED     14632
  TCP    192.168.0.111:59039    23.105.168.213:443     ESTABLISHED     14632
  TCP    192.168.0.111:59046    208.103.161.2:443      ESTABLISHED     13180
  TCP    192.168.0.111:59047    208.103.161.2:443      ESTABLISHED     13180
  TCP    192.168.0.111:59048    208.103.161.2:443      ESTABLISHED     13180
  TCP    192.168.0.111:59049    208.103.161.2:443      ESTABLISHED     13180
  TCP    192.168.0.111:59096    34.79.204.55:443       ESTABLISHED     2696
  TCP    192.168.0.111:59851    104.238.216.198:443    ESTABLISHED     14632
  TCP    192.168.0.111:61278    23.105.168.233:443     ESTABLISHED     14632
  TCP    192.168.0.111:61279    104.238.216.198:443    ESTABLISHED     14632
  TCP    192.168.0.111:62818    172.172.255.216:443    ESTABLISHED     1616
  TCP    192.168.0.111:62902    192.168.0.111:3306     CLOSE_WAIT      21292
  TCP    192.168.0.111:62926    64.233.190.188:5228    ESTABLISHED     13180
  TCP    192.168.0.111:63394    142.251.0.188:5228     ESTABLISHED     13180
  TCP    192.168.0.111:63395    142.251.0.188:5228     ESTABLISHED     13180
  TCP    192.168.0.111:64893    208.103.161.1:443      ESTABLISHED     13180
  TCP    [::]:135               [::]:0                 LISTENING       1296
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:3000              [::]:0                 LISTENING       21292
  TCP    [::]:3389              [::]:0                 LISTENING       1412
  TCP    [::]:5050              [::]:0                 LISTENING       9232
  TCP    [::]:5432              [::]:0                 LISTENING       9232
  TCP    [::]:15100             [::]:0                 LISTENING       22200
  TCP    [::]:15101             [::]:0                 LISTENING       22200
  TCP    [::]:49664             [::]:0                 LISTENING       1016
  TCP    [::]:49665             [::]:0                 LISTENING       900
  TCP    [::]:49666             [::]:0                 LISTENING       1464
  TCP    [::]:49667             [::]:0                 LISTENING       1616
  TCP    [::]:53866             [::]:0                 LISTENING       980
  TCP    [::]:57445             [::]:0                 LISTENING       3320
  TCP    [::]:61978             [::]:0                 LISTENING       11872
  TCP    [::1]:5050             [::]:0                 LISTENING       21344
  TCP    [::1]:5050             [::1]:57945            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57946            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57948            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57950            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57951            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57953            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57955            TIME_WAIT       0
  TCP    [::1]:5050             [::1]:57956            TIME_WAIT       0
